LAMMPS data file via write_data, version 7 Aug 2019, timestep = 2000000

191 atoms
2 atom types

0.0000000000000000e+00 1.2420000000000000e+01 xlo xhi
0.0000000000000000e+00 1.2420000000000000e+01 ylo yhi
0.0000000000000000e+00 1.2420000000000000e+01 zlo zhi

Masses

1 15.999
2 1.008

Atoms # atomic

179 2 3.0228210045838027e+00 1.6566073704430710e+00 1.0384612132671733e+00 -1 1 -2
37 1 2.5383296242718822e+00 2.5754541329702589e+00 3.1102234298457931e+00 0 -3 3
56 2 3.4468227656894603e+00 2.0908005366433726e+00 3.1351420762786293e+00 -3 0 0
185 2 2.6790943139310812e+00 3.5232547023229959e+00 2.9242568333585868e+00 3 1 0
5 2 2.1674350171718326e+00 4.8118261423480602e-01 4.8597834340678125e-01 -2 2 -2
4 1 2.6709468369927225e+00 1.2453807543692521e+00 2.1307061551586115e-01 -2 2 -2
163 1 4.8846107404660080e+00 1.0997910093106043e+00 2.4904433833063138e+00 -2 -1 3
60 2 5.5653605739719545e+00 7.7841681852396960e-01 3.1702452940979797e+00 0 0 2
107 2 5.4489628536224552e+00 3.1554476759523440e+00 2.8902302600670695e+00 3 1 0
159 2 5.4080051106075819e+00 1.0922500087561129e+00 1.6418887461609579e+00 -1 -2 2
184 1 5.5634062049159105e+00 4.1048089380365793e+00 2.6770738164674110e+00 3 1 1
99 2 7.2531969047991947e+00 5.4362067590266960e-02 9.9836162096742476e-01 1 1 4
121 1 6.7103117593178903e+00 7.6096582569149296e-01 5.0673488185532956e-01 1 0 2
186 2 7.4889006696763651e+00 1.4150753164553651e+00 3.2156024751891393e-01 0 -2 4
16 1 1.2256195094163607e+01 2.4462077141013618e+00 8.5025012287527679e-02 -2 -1 4
162 2 1.2352761769179340e+01 1.4754053078172107e+00 3.2365637839978881e-02 -1 0 1
100 1 9.1523472548027360e+00 2.2656721887111293e+00 3.0343100194860275e+00 4 0 1
170 2 8.8200745737662523e+00 2.7703537167330596e+00 3.8194167414601794e+00 3 1 -1
29 2 1.1570237452246403e+01 3.2227063416242729e+00 2.1129737167778568e+00 -3 0 0
101 2 9.8092416141585854e+00 1.5950969200886855e+00 3.3542074154407091e+00 4 0 1
182 2 8.9681835358661104e+00 2.5093085482215796e+00 1.1892132574973546e+00 1 1 2
62 2 9.7698601546180956e+00 6.5509264467740091e-01 1.3447034960529289e-01 -1 3 1
103 1 1.1008331257421212e+01 2.2522617646660262e-01 4.0291810903434770e+00 2 1 0
134 2 1.1168331841861598e+01 3.9978909175919135e+00 3.4939226127014811e+00 -3 2 1
1 1 8.8043113615959143e+00 2.2074418819402584e+00 2.7193160667454952e-01 0 2 3
86 2 1.9618662704223564e+00 6.5045745463453351e+00 8.7028968338785073e-01 -1 -3 1
151 1 2.4266695869580563e+00 7.2804503227942501e+00 4.5766645184353089e-01 0 -2 0
89 2 1.3820811781731523e+00 5.7920710847245047e+00 3.1491546895701519e+00 2 0 -1
46 1 1.4754525171218071e+00 5.3028841164384088e+00 2.2946213185854458e+00 2 4 -2
158 2 5.1795629138196830e-01 4.8492817819297311e+00 2.2215580674520892e+00 2 -3 -1
126 2 9.3498123729221561e-02 8.2249429795007476e+00 9.7467248743669188e-01 2 1 -2
71 2 1.9131824060455447e+00 4.6599185001783932e+00 5.7783902186277471e-02 2 0 -1
54 2 4.1642744780638408e+00 6.7455795397869940e+00 8.5653646575979614e-01 2 -2 3
76 1 4.8366000492127847e+00 6.6822217794250536e+00 1.5767326316057426e+00 -1 -2 2
102 2 6.3655601206276113e+00 4.4410957108132028e+00 3.0961969391659947e+00 0 1 -1
77 2 5.2308121297538399e+00 5.7997840614426073e+00 1.7667063877682674e+00 -2 -2 2
27 2 4.2660096818692983e+00 6.8378804456528792e+00 3.3731084342191293e+00 2 0 0
9 2 8.1071351617159220e+00 6.7993783141680941e+00 1.6603164626140166e+00 2 1 2
106 1 7.2061566363839491e+00 8.2754338409685388e+00 1.1341324587900461e+00 3 0 0
114 2 6.2870707437582007e+00 8.0620951278251933e+00 1.1860900858415473e+00 0 1 -2
178 1 8.2350347885335111e+00 5.8065456518106409e+00 1.4959437526398294e+00 2 1 1
133 1 1.1333168873776962e+01 4.1692949987496926e+00 2.4751618129680670e+00 -3 2 1
137 2 8.2960641974661264e+00 5.1304546738204992e+00 3.3126201072429584e+00 -1 -1 1
42 2 1.1075095305835157e+01 6.0425006872023719e+00 9.6769177561523800e-01 1 -1 0
69 2 8.3895779706165836e+00 5.7842245364068008e+00 5.3811815461092394e-01 3 2 1
172 1 1.1545273631166809e+01 6.0270053252402258e+00 5.3374952972306842e-02 -2 2 0
127 1 5.7233845844546527e-01 1.2188245590660859e+01 9.4122285879510448e-01 -1 1 1
176 2 2.2959313321094688e+00 9.3450429354466689e+00 1.1624694013841295e+00 -2 -2 0
10 1 2.4890464796084983e+00 1.0044216988997078e+01 1.8342530276902191e+00 -1 -2 0
75 2 2.4005167075642038e+00 9.4417290042792796e+00 3.2701556020073146e+00 2 -2 3
63 2 3.2545944932550985e+00 1.0516092701471562e+01 1.5062965502423038e+00 1 -2 -1
